iter	Passed	Remaining
424	1967	2661
425	1970	2655
426	1974	2649
427	1977	2642
428	1980	2635
429	1983	2628
430	1987	2624
431	1992	2619
432	1996	2614
433	1999	2607
434	2003	2601
435	2006	2595
436	2009	2589
437	2012	2582
438	2015	2575
439	2021	2572
440	2025	2567
441	2028	2561
442	2031	2554
443	2035	2549
444	2038	2542
445	2041	2536
446	2044	2529
447	2048	2523
448	2056	2523
449	2059	2517
450	2062	2510
451	2065	2504
452	2069	2498
453	2072	2492
454	2075	2485
455	2078	2479
456	2082	2473
457	2087	2470
458	2091	2465
459	2094	2459
460	2097	2452
461	2101	2447
462	2104	2441
463	2108	2435
464	2111	2428
465	2114	2423
466	2119	2419
467	2123	2413
468	2126	2407
469	2129	2401
470	2133	2395
471	2136	2389
472	2139	2383
473	2142	2377
474	2146	2372
475	2151	2368
476	2155	2363
477	2158	2357
478	2161	2351
479	2165	2345
480	2168	2339
481	2171	2333
482	2174	2327
483	2178	2322
484	2183	2318
485	2187	2313
486	2190	2307
487	2193	2301
488	2197	2296
489	2200	2290
490	2203	2284
491	2206	2278
492	2210	2273
493	2215	2269
494	2219	2263
495	2222	2257
496	2225	2252
497	2229	2247
498	2232	2241
499	2235	2235
500	2238	2229
501	2241	2223
502	2246	2220
503	2250	2214
504	2253	2209
505	2256	2203
506	2260	2197
507	2263	2192
508	2266	2186
509	2269	2180
510	2273	2175
511	2278	2171
512	2282	2166
513	2285	2161
514	2289	2156
515	2293	2150
516	2296	2145
517	2299	2139
518	2302	2133
519	2307	2130
520	2311	2125
521	2315	2119
522	2318	2114
523	2322	2109
524	2326	2104
525	2329	2098
526	2332	2093
527	2335	2087
528	2340	2083
529	2345	2080
530	2349	2074
531	2352	2069
532	2360	2067
533	2364	2063
534	2369	2059
535	2375	2056
536	2379	2051
537	2387	2050
538	2391	2045
539	2394	2039
540	2397	2034
541	2403	2030
542	2408	2027
543	2412	2022
544	2415	2016
545	2419	2011
546	2423	2006
547	2427	2002
548	2431	1997
549	2440	1996
550	2445	1992
551	2450	1988
552	2457	1986
553	2467	1986
554	2522	2022
555	2536	2025
556	2551	2029
557	2556	2025
558	2563	2022
559	2577	2024
560	2620	2050
561	2626	2047
562	2630	2041
563	2639	2040
564	2647	2038
565	2654	2035
566	2669	2038
567	2686	2043
568	2694	2040
569	2704	2040
570	2709	2035
571	2715	2032
572	2720	2027
573	2723	2021
574	2729	2017
575	2738	2015
576	2744	2011
577	2751	2008
578	2754	2003
579	2758	1997
580	2771	1998
581	2774	1992
582	2784	1991
583	2788	1986
584	2814	1996
585	2820	1992
586	2825	1988
587	2834	1986
588	2837	1980
589	2844	1976
590	2847	1970
591	2850	1964
592	2855	1959
593	2867	1960
594	2874	1956
595	2882	1953
596	2885	1948
597	2892	1944
598	2896	1939
599	2901	1934
600	2906	1929
601	2910	1924
602	2915	1919
603	2923	1916
604	2929	1912
605	2933	1907
606	2940	1903
607	2946	1899
608	2950	1894
609	2958	1891
610	2965	1887
611	2969	1882
612	2980	1881
613	2985	1877
614	2997	1876
615	3000	1870
616	3007	1867
617	3011	1861
618	3014	1855
619	3024	1853
620	3028	1848
621	3036	1845
622	3040	1839
623	3043	1833
624	3047	1828
625	3056	1826
626	3063	1822
627	3070	1819
628	3076	1814
629	3085	1811
630	3090	1806
631	3094	1802
632	3100	1797
633	3104	1791
634	3109	1787
635	3117	1784
636	3124	1780
637	3130	1776
638	3135	1771
639	3139	1766
640	3146	1762
641	3154	1758
642	3159	1754
643	3166	1750
644	3170	1744
645	3177	1741
646	3183	1737
647	3189	1732
648	3195	1728
649	3200	1723
650	3203	1717
651	3210	1713
652	3217	1709
653	3221	1704
654	3227	1699
655	3231	1694
656	3234	1688
657	3237	1682
658	3246	1679
659	3250	1674
660	3253	1668
661	3259	1664
662	3263	1658
663	3266	1652
664	3272	1648
665	3279	1644
666	3285	1640
667	3290	1635
668	3294	1629
669	3297	1624
670	3303	1619
671	3309	1615
672	3316	1611
673	3322	1607
674	3327	1601
675	3330	1596
676	3336	1591
677	3342	1587
678	3346	1582
679	3352	1577
680	3356	1572
681	3360	1567
682	3365	1562
683	3376	1559
684	3386	1557
685	3390	1552
686	3393	1546
687	3398	1541
688	3405	1537
689	3408	1531
690	3411	1525
691	3416	1520
692	3419	1514
693	3422	1509
694	3425	1503
695	3432	1499
696	3438	1494
697	3441	1489
698	3445	1483
699	3451	1479
700	3455	1473
701	3458	1468
702	3466	1464
703	3470	1459
704	3474	1453
705	3478	1448
706	3482	1443
707	3486	1437
708	3489	1432
709	3492	1426
710	3497	1421
711	3501	1416
712	3504	1410
713	3508	1405
714	3512	1399
715	3515	1394
716	3518	1388
717	3521	1383
718	3525	1377
719	3531	1373
720	3534	1367
721	3537	1362
722	3541	1357
723	3545	1351
724	3548	1346
725	3551	1340
726	3554	1334
727	3561	1330
728	3566	1325
729	3569	1320
730	3573	1315
731	3577	1309
732	3580	1304
733	3584	1298
734	3587	1293
735	3593	1288
736	3597	1283
737	3600	1278
738	3603	1272
739	3607	1267
740	3611	1262
741	3614	1256
742	3618	1251
743	3626	1247
744	3631	1242
745	3634	1237
746	3639	1232
747	3642	1227
748	3645	1221
749	3648	1216
750	3652	1211
751	3657	1206
752	3661	1200
753	3664	1195
754	3667	1190
755	3671	1184
756	3674	1179
757	3677	1174
758	3680	1168
759	3685	1163
760	3690	1159
761	3694	1153
762	3697	1148
763	3702	1143
764	3705	1138
765	3708	1132
766	3711	1127
767	3714	1122
768	3720	1117
769	3724	1112
770	3727	1107
771	3731	1101
772	3734	1096
773	3737	1091
774	3740	1086
775	3743	1080
776	3747	1075
777	3751	1070
778	3756	1065
779	3759	1060
780	3763	1055
781	3769	1050
782	3772	1045
783	3775	1040
784	3779	1035
785	3784	1030
786	3789	1025
787	3793	1020
788	3797	1015
789	3800	1010
790	3803	1005
791	3806	999
792	3809	994
793	3815	990
794	3820	985
795	3823	979
796	3827	974
797	3830	969
798	3833	964
799	3836	959
800	3839	953
801	3844	949
802	3848	944
803	3852	939
804	3855	933
805	3859	928
806	3863	923
807	3866	918
808	3869	913
809	3872	908
810	3877	903
811	3881	898
812	3885	893
813	3888	888
814	3893	883
815	3897	878
816	3900	873
817	3903	868
818	3910	864
819	3914	859
820	3917	854
821	3920	848
822	3924	844
823	3928	839
824	3932	834
825	3936	829
826	3941	824
827	3946	819
828	3949	814
829	3952	809
830	3956	804
831	3960	799
832	3963	794
833	3966	789
834	3969	784
835	3975	779
836	3979	775
837	3983	769
838	3988	765
839	3992	760
