iter	RMSE
201	2.022709055
202	2.016789558
203	2.011166219
204	2.004677433
205	1.998474679
206	1.992583219
207	1.987405922
208	1.983344225
209	1.978814904
210	1.973711651
211	1.9685324
212	1.963850334
213	1.959856108
214	1.955762957
215	1.948674089
216	1.945020827
217	1.939674073
218	1.934195088
219	1.927984963
220	1.921878572
221	1.917568431
222	1.910608983
223	1.906104531
224	1.901186658
225	1.897598172
226	1.891182552
227	1.886265215
228	1.880091161
229	1.873397078
230	1.868862585
231	1.862184038
232	1.858539718
233	1.855864639
234	1.849481215
235	1.845001376
236	1.838495954
237	1.836338111
238	1.832686907
239	1.825491037
240	1.821760024
241	1.816717303
242	1.812268771
243	1.807606327
244	1.80366662
245	1.80076426
246	1.798085061
247	1.795459284
248	1.79240743
249	1.786574645
250	1.783589555
251	1.779039711
252	1.77496279
253	1.772175595
254	1.76745081
255	1.760731848
256	1.75479897
257	1.751227776
258	1.7468463
259	1.740822751
260	1.735179171
261	1.728541855
262	1.722510904
263	1.718671193
264	1.714241066
265	1.709380495
266	1.70475797
267	1.703039878
268	1.697594097
269	1.694709576
270	1.690175673
271	1.688897235
272	1.685836344
273	1.681683591
274	1.677241002
275	1.671510133
276	1.667295679
277	1.664726759
278	1.660797999
279	1.655581885
280	1.651821977
281	1.645922183
282	1.641063528
283	1.637911418
284	1.635489308
285	1.630823745
286	1.626661503
287	1.623626699
288	1.620681222
289	1.616255108
290	1.612739014
291	1.608731819
292	1.606498489
293	1.600638277
294	1.596517076
295	1.593155893
296	1.588705952
297	1.584226179
298	1.580719951
299	1.579054447
300	1.576273408
301	1.573141178
302	1.566897603
303	1.564415756
304	1.560676882
305	1.55648065
306	1.553083949
307	1.547004355
308	1.546001263
309	1.540993488
310	1.538416251
311	1.537010535
312	1.533417551
313	1.529620639
314	1.528440163
315	1.524725288
316	1.520178518
317	1.515788753
318	1.509996899
319	1.505248639
320	1.499604579
321	1.495030671
322	1.490840895
323	1.48609794
324	1.485052893
325	1.481543128
326	1.478878088
327	1.475069314
328	1.47092535
329	1.470059384
330	1.467017357
331	1.465104297
332	1.461284959
333	1.458346792
334	1.4550253
335	1.450392941
336	1.446062517
337	1.443641117
338	1.440745065
339	1.437238585
340	1.433944906
341	1.42985125
342	1.425418311
343	1.422486844
344	1.419621161
345	1.417022267
346	1.412811965
347	1.412052959
348	1.409223126
349	1.407109176
350	1.404444106
351	1.403593457
352	1.400619666
353	1.397606441
354	1.392093455
355	1.388610878
356	1.385586093
357	1.382100451
358	1.379287534
359	1.378575831
360	1.374601552
361	1.370952609
362	1.36727595
363	1.364214319
364	1.36093669
365	1.358111145
366	1.354596541
367	1.351388592
368	1.348203267
369	1.345009382
370	1.339963796
371	1.337519807
372	1.336019572
373	1.334071537
374	1.329802013
375	1.327550681
376	1.323806064
377	1.321490278
378	1.31792805
379	1.313367994
380	1.311563937
381	1.308712507
382	1.306612243
383	1.302637789
384	1.298599236
385	1.295452189
386	1.293264
387	1.290519794
388	1.287394207
389	1.285113369
390	1.28265153
391	1.279775526
392	1.279204579
393	1.276275768
394	1.274167368
395	1.269963174
396	1.267488217
397	1.264235599
